server,dataset_id,n_stations,years,n_onset,n_test,tp,fp,fn,base_rate,precision,pod,lift,lift_lo,lift_hi,auc,auc_lo,auc_hi,precision_lo,precision_hi,t_star
IOOS-Sensors,indian-river-lagoon-jensen-beach,1,9.7,2414.0,2414.0,252.0,167.0,545.0,0.33015741507870755,0.6014319809069213,0.3161856963613551,1.821652198129621,1.5073399160970584,2.284772907377532,0.716894445698891,0.6612701403261662,0.7761844954150583,0.4892750444952962,0.7445318983182888,0.8500000000000001
IOOS-Sensors,indian-river-lagoon-link-port-ir,1,11.6,3077.0,3077.0,715.0,668.0,352.0,0.346766330841729,0.5169920462762111,0.6701030927835051,1.490894588933366,1.3783785729303761,1.5932886345867487,0.7357236777686077,0.6901789435216187,0.7778226171674372,0.4556728021837849,0.5717323800337978,0.6000000000000001
IOOS-Sensors,indian-river-lagoon-malabar-irl-,1,2.5,536.0,536.0,67.0,296.0,0.0,0.125,0.18457300275482094,1.0,1.4765840220385675,1.079646017699115,1.6959064327485378,0.8276421729306559,0.6501068376068376,0.9412202380952381,0.12280701754385964,0.35443037974683544,0.25
IOOS-Sensors,indian-river-lagoon-sebastian-ir,1,10.6,2794.0,2794.0,428.0,443.0,361.0,0.2823908375089477,0.49138920780711826,0.5424588086185045,1.7401032276465,1.54665637756629,1.9372044915523057,0.7216745841353523,0.6661129474151404,0.763761045859361,0.4002009988191691,0.5805414922557662,0.7000000000000001
IOOS-Sensors,indian-river-lagoon-st-lucie-est,1,10.3,2468.0,2468.0,551.0,692.0,245.0,0.3225283630470016,0.4432823813354787,0.6922110552763819,1.3743981371054792,1.2316296280974686,1.5845429340587185,0.68790273136015,0.6395004110424581,0.7370239690572025,0.38828400837284377,0.5197995934137983,0.6000000000000001
IOOS-Sensors,indian-river-lagoon-titusville-i,1,3.5,781.0,781.0,84.0,138.0,91.0,0.22407170294494239,0.3783783783783784,0.48,1.6886486486486487,1.2979726488927366,2.454986522911051,0.6671098538425271,0.5606105124821702,0.8336455893832945,0.22377622377622378,0.7482014388489209,0.6500000000000001
IOOS-Sensors,indian-river-lagoon-vero-beach-i,1,10.7,2673.0,2673.0,345.0,288.0,400.0,0.2787130564908343,0.5450236966824644,0.46308724832214765,1.955501129170775,1.604824297974763,2.335951524429281,0.7071545434292239,0.6507944534366834,0.7634612716461465,0.4644052337184136,0.6230409622106542,0.7500000000000001
IOOS-Sensors,ism-cencoos-morro-bay-bs1,1,3.6,875.0,875.0,206.0,331.0,15.0,0.25257142857142856,0.38361266294227186,0.9321266968325792,1.5188284166266421,1.277135244341639,1.941957869205893,0.8190045248868778,0.7303685519151479,0.868673050615595,0.27102803738317754,0.5956284153005464,0.2
IOOS-Sensors,ism-cencoos-san-luis-bay-cal-pol-1,1,7.7,1806.0,1806.0,437.0,576.0,100.0,0.2973421926910299,0.43139190523198423,0.813780260707635,1.4508264075399693,1.3471726401610506,1.5880223045945678,0.7628215005290166,0.7307312012832419,0.803110914193309,0.3843843843843844,0.46777810888549143,0.25
IOOS-Sensors,ism-cencoos-santa-monica-pier-au-1,1,21.2,,,,,,,,,,,,,,,,,
IOOS-Sensors,ism-gcoos-disl_bsca,1,1.6,338.0,338.0,34.0,304.0,0.0,0.10059171597633136,0.10059171597633136,1.0,1.0,1.0,1.0,0.3081946594427245,0.3023140495867769,1.0,0.03333333333333333,0.10714285714285714,0.9500000000000001
IOOS-Sensors,ism-gcoos-disl_mbla,1,0.6,,,,,,,,,,,,,,,,,
IOOS-Sensors,ism-gcoos-disl_ppta,1,2.1,,,,,,,,,,,,,,,,,
